major_options,count
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'Multi Zone Climate Control', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Comfort Package']",32055
"['Alloy Wheels', 'Bluetooth', 'Backup Camera']",13420
['Steel Wheels'],6425
['Alloy Wheels'],6391
"['Steel Wheels', 'Bluetooth', 'Backup Camera']",6039
"['Bluetooth', 'Backup Camera']",5863
['Backup Camera'],3990
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",3959
"['Alloy Wheels', 'Bluetooth']",3570
"['Alloy Wheels', 'Backup Camera']",3361
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",3089
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",2747
['Bluetooth'],2746
"['Adaptive Cruise Control', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",2530
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",2188
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",2117
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",2061
"['Steel Wheels', 'Bluetooth']",2033
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1851
['Sunroof/Moonroof'],1777
"['Sunroof/Moonroof', 'Alloy Wheels']",1540
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1492
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1478
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",1417
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1399
"['Backup Camera', 'Android Auto', 'CarPlay']",1294
"['Steel Wheels', 'Backup Camera']",1293
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1206
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",1154
"['Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1106
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",1097
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1086
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1063
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1028
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",1012
"['Navigation System', 'Alloy Wheels', 'Bluetooth']",1002
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",960
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",946
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",909
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",909
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",903
"['Sunroof/Moonroof', 'Navigation System']",894
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",881
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",873
"['Bluetooth', 'Backup Camera', 'Remote Start']",872
['Quick Order Package'],863
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",846
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",837
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",805
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",802
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",792
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",768
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth']",766
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",757
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",751
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",741
"['Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",740
"['Android Auto', 'CarPlay']",740
"['Leather Seats', 'Alloy Wheels']",738
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",734
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",724
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera']",687
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",686
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",675
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats']",674
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",669
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",646
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",637
"['Adaptive Cruise Control', 'Backup Camera']",635
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",626
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",614
"['Alloy Wheels', 'Bluetooth', 'Heated Seats']",596
['Heated Seats'],594
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",571
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",567
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",560
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",541
"['Alloy Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay']",532
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",525
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",517
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",513
"['Alloy Wheels', 'Heated Seats']",500
"['Leather Seats', 'Bluetooth', 'Backup Camera', 'Remote Start']",497
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",496
"['Adaptive Cruise Control', 'Bluetooth', 'Backup Camera']",492
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",482
"['Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",478
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Android Auto', 'CarPlay']",475
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",473
"['Sunroof/Moonroof', 'Bluetooth']",471
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",471
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",471
"['Alloy Wheels', 'Steel Wheels']",466
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera']",464
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",449
"['SE Package', 'Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",446
"['Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",446
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",445
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",440
['Navigation System'],435
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",434
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera', 'Remote Start']",418
"['Bluetooth', 'Backup Camera', 'Quick Order Package']",417
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels']",406
"['Alloy Wheels', 'Bluetooth', 'Android Auto', 'CarPlay']",401
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'CarPlay']",398
"['Steel Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",396
"['Alloy Wheels', 'Bluetooth', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay', 'Convenience Package']",396
"['Alloy Wheels', 'Backup Camera', 'Heated Seats']",396
"['Sunroof/Moonroof', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",395
['Blind Spot Monitoring'],390
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",386
"['Sunroof/Moonroof', 'Backup Camera']",386
"['Backup Camera', 'Heated Seats']",385
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Quick Order Package']",382
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",379
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",376
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Android Auto', 'CarPlay']",375
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",373
"['Leather Seats', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",372
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",370
"['Sunroof/Moonroof', 'Bluetooth', 'Backup Camera']",370
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera']",369
"['Navigation System', 'Alloy Wheels']",359
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay', 'Bluetooth', 'Backup Camera', 'Remote Start']",359
"['Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",357
"['Sunroof/Moonroof', 'Backup Camera', 'Heated Seats']",356
"['Leather Seats', 'Bluetooth', 'Backup Camera']",355
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",352
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Android Auto', 'CarPlay', 'Convenience Package']",351
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",351
"['Backup Camera', 'Parking Sensors', 'Android Auto', 'CarPlay']",351
"['Bluetooth', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",350
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",345
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",344
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",340
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",336
"['Navigation System', 'Bluetooth']",336
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",334
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Quick Order Package']",331
"['Navigation System', 'Bluetooth', 'Backup Camera']",329
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Quick Order Package']",328
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",327
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth']",324
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",324
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'Convenience Package']",321
"['Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera']",320
"['Customer Preferred Package', 'Preferred Package', 'Quick Order Package']",319
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",318
"['Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",318
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",318
"['Navigation System', 'Alloy Wheels', 'Backup Camera']",316
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay', 'Convenience Package']",314
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Heated Seats']",314
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats']",313
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",310
"['Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Parking Sensors']",309
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Heated Seats']",309
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Quick Order Package']",309
"['Navigation System', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",308
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth']",306
"['Alloy Wheels', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",303
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Quick Order Package']",303
"['Alloy Wheels', 'Bluetooth', 'Quick Order Package']",303
['Leather Seats'],303
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",301
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",299
"['Leather Seats', 'Alloy Wheels', 'Heated Seats']",295
"['Alloy Wheels', 'Third Row Seating']",291
"['Sunroof/Moonroof', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",288
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats']",287
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Quick Order Package']",286
"['Leather Seats', 'Sunroof/Moonroof', 'Bluetooth', 'Backup Camera']",283
"['Bluetooth', 'Remote Start']",282
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'CarPlay']",281
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors']",280
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",280
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels']",279
"['Alloy Wheels', 'Bluetooth', 'Remote Start', 'Android Auto', 'CarPlay', 'Convenience Package']",278
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats']",276
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay']",274
"['Alloy Wheels', 'Quick Order Package']",274
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",274
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera']",268
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",266
"['Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Android Auto', 'CarPlay']",266
"['Alloy Wheels', 'Bluetooth', 'Android Auto', 'CarPlay', 'Convenience Package']",265
"['Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",264
"['Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Technology Package', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",264
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Quick Order Package']",262
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",261
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",260
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Cargo Package']",259
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",257
"['Adaptive Cruise Control', 'Backup Camera', 'Android Auto', 'CarPlay']",256
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Technology Package', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Heated Seats']",255
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Heated Seats']",255
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",253
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",252
"['Sunroof/Moonroof', 'Quick Order Package']",251
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",250
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",246
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'CarPlay']",245
"['Backup Camera', 'Quick Order Package']",245
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",243
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",243
"['Sunroof/Moonroof', 'Heated Seats']",241
"['SE Package', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",241
"['Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",240
['Chrome Wheels'],240
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",237
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",236
"['Alloy Wheels', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",233
"['Blind Spot Monitoring', 'Android Auto', 'CarPlay']",233
"['Sunroof/Moonroof', 'Blind Spot Monitoring']",232
"['Backup Camera', 'Remote Start', 'Parking Sensors', 'Quick Order Package']",232
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'CarPlay']",231
"['Navigation System', 'Steel Wheels', 'Bluetooth']",231
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",230
"['Navigation System', 'Backup Camera']",230
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",230
"['Alloy Wheels', 'Third Row Seating', 'Backup Camera']",230
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay', 'Convenience Package']",229
['Third Row Seating'],228
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay', 'Bluetooth', 'Backup Camera', 'Remote Start']",227
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",227
"['Adaptive Cruise Control', 'Bluetooth']",226
"['Sunroof/Moonroof', 'Navigation System', 'Bluetooth']",225
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",224
"['Alloy Wheels', 'Steel Wheels', 'Bluetooth']",224
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Parking Sensors']",223
"['SE Package', 'Alloy Wheels', 'Backup Camera']",219
"['Sunroof/Moonroof', 'Power Package', 'Blind Spot Monitoring']",219
"['Navigation System', 'Adaptive Cruise Control', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Cold Weather Package', 'CarPlay', 'Convenience Package']",219
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",219
['Premium Wheels'],219
"['Third Row Seating', 'Backup Camera']",219
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",219
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",218
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",216
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth']",214
